STATE,C1_HLTH_DEFS_CNT,C1_FS_DEFS_CNT,C2_HLTH_DEFS_CNT,C2_FS_DEFS_CNT,C3_HLTH_DEFS_CNT,C3_FS_DEFS_CNT,aidhrd,vochrd,rnhrd,totlichrd,tothrd,pthrd,FINE_CNT,FINE_TOT,QM401,QM402,QM403,QM404,QM405,QM406,QM407,QM408,QM409,QM410,QM411,QM415,QM419,QM424,QM425,QM426,QM430,QM434,QM451,QM452,QM471,QM521,QM522,QM523,FILEDATE
ID,9.4,3.6,11.8,2.8,10.4,2.9,2.88,0.85,1.09,1.94,4.82,0.16,0.8,1506,14.073651,12.383359,3.363287,5.309161,45.166858,3.104511,5.335897,5.989337,0.454452,2.946064,96.557271,96.272138,16.545643,22.058484,1.057012,83.928108,87.683184,1.290727,16.460049,22.221943,65.371759,17.434637,12.401481,62.409301,10/1/2016
IL,7.7,6.5,7.9,6.6,7.3,6.4,2.27,0.61,0.94,1.55,3.83,0.1,0.3,6926,15.354722,6.261082,6.226253,7.784737,42.901649,3.480586,4.650945,18.15096,0.707444,3.353845,92.820616,91.841873,19.924498,14.754375,1.41103,74.64991,76.672887,2.477022,17.535286,22.541248,60.212675,24.265176,12.342998,53.494254,10/1/2016
IN,7,4.2,7.6,3.7,7.7,4.3,2.25,0.95,0.95,1.89,4.14,0.1,0.3,3773,16.569492,7.082081,6.227031,7.627868,48.781557,2.463633,4.098795,8.06568,0.547018,3.580125,93.494081,93.04355,16.080019,16.066352,1.535178,80.494536,81.248814,2.214358,18.46329,22.484091,62.879557,21.504435,11.723463,55.637324,10/1/2016
KS,10.3,5,11.1,4.1,9.7,4,2.72,0.66,0.84,1.51,4.22,0.06,0.3,6489,16.929861,10.772187,5.154678,7.404534,39.90574,2.766772,6.124977,6.501042,0.239792,4.675972,95.605805,92.694023,19.779737,21.187215,1.885138,74.687527,76.554872,2.642018,19.329555,24.131476,69.169218,22.690831,11.665249,55.454692,10/1/2016
KY,5.2,1.3,6.3,1.9,5.6,2.5,2.47,0.92,0.91,1.83,4.29,0.09,0.5,48928,16.730123,9.169944,6.413859,7.508265,48.488919,3.256716,5.617618,3.175792,1.431549,3.840573,95.527188,95.168362,20.145821,18.973579,1.313314,83.160246,84.499047,2.972035,21.205106,31.823626,56.337235,22.611061,13.582851,56.467032,10/1/2016
LA,4.3,1.1,5,1.3,5.4,1.7,2.28,0.97,0.53,1.5,3.79,0.07,0.2,8463,17.048841,6.843918,7.516714,7.162078,39.647771,2.439137,4.640097,1.581734,1.328661,3.319084,95.180413,94.790598,20.297973,14.744937,1.295523,77.448901,82.854919,3.381857,16.305016,26.444015,51.681116,26.536643,15.174713,51.883101,10/1/2016
MA,4.8,0.9,4,1.2,3.9,0.9,2.36,0.82,0.92,1.74,4.11,0.11,0.6,9753,14.737646,5.866037,4.68506,6.11183,53.391756,2.299507,4.294694,3.035544,1.025262,2.942851,95.886363,93.299936,18.637761,16.979204,1.093606,83.735127,80.347851,1.707086,17.860874,21.21119,54.575425,24.292652,11.894996,56.360307,10/1/2016
MD,11.4,4,11.1,3.7,11.6,3.5,2.41,0.87,0.98,1.85,4.26,0.14,0.1,12997,18.305874,5.955253,6.882729,6.353904,58.523774,2.281003,4.319298,4.679613,0.569669,2.882523,95.175277,92.165636,14.065496,13.84505,1.286851,82.34215,81.368944,2.117118,22.090342,18.538947,64.620366,21.912081,10.184626,59.317546,10/1/2016
ME,3.1,3.6,3.7,1.7,4.8,1,3.1,0.46,1.12,1.59,4.69,0.12,0.1,493,14.593864,12.579775,4.649548,7.773469,61.900958,2.798872,5.253482,9.509568,0.287975,3.83931,95.753767,93.103794,17.410572,23.104778,0.96596,82.444871,81.686907,1.229497,23.752471,20.009117,65.996255,20.312482,15.186166,60.418556,10/1/2016
MI,9.3,3.8,9.1,4.9,8.5,4.8,2.56,0.84,0.94,1.77,4.33,0.12,0.5,6178,13.958161,8.105785,5.765693,7.702487,49.275493,3.209583,4.256957,3.11702,0.812477,2.950574,92.183427,93.256198,13.304825,17.650112,1.155344,79.859845,80.877065,1.737166,17.44382,22.50306,70.321834,21.887161,11.329288,57.776741,10/1/2016
